Layer Mapping Number,Layer Mapping Part Type,Layer Number,Layer Type,Input GDS Number,Input GDS Data Type,Output GDS Number,Output GDS Data Type,Input Oasis Number,Input Oasis Data Type,Output Oasis Number,Output Oasis Data Type,Extended Layer Number,Extended Input GDS Number,Extended Input GDS Data Type,Extended Output GDS Number,Extended Output GDS Data Type,Extended Input Oasis Number,Extended Input Oasis Data Type,Extended Output Oasis Number,Extended Output Oasis Data Type
LM-0001.091,Layer Mapping Table,Mask_HVNVT_1M_Generic,Layer,207,0,207,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVNDDD_1K_Generic,Layer,202,0,202,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVNDDD2_0X_Generic,Layer,42,28,42,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVGATE_5J_Generic,Layer,203,0,203,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVDNW_09_Generic,Layer,14,28,14,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HTPVT_5G_Generic,Layer,196,0,196,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HTNVT_5F_Generic,Layer,195,0,195,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HPVT_PKT_5S_Generic,Layer,233,0,233,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HNVT_PKT_5R_Generic,Layer,232,0,232,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HD_19_Generic,Layer,218,0,218,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_GD_37_Generic,Layer,219,0,219,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_FuseWindow_9A_Generic,Layer,96,0,96,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_FuseTop_92_Generic,Layer,75,0,75,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_FuseTop2_8H_Generic,Layer,215,0,215,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_FuseBot_8F_Generic,Layer,138,0,138,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Emitter_56_Generic,Layer,124,0,124,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ESD_67_Generic,Layer,24,0,24,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_EMIPOLY_6F_Generic,Layer,132,0,132,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_EDMOS_TOPOX_AG_Generic,Layer,58,28,58,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_EDMOS_RECESS_AH_Generic,Layer,59,28,59,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Dualgate_38_Generic,Layer,55,0,55,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_D_TRENCH_8P_Generic,Layer,23,28,23,28,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DVNwell_1G_Generic,Layer,181,0,181,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DVNVT_5K_Generic,Layer,211,0,211,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DVLVTN_0T_Generic,Layer,37,28,37,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV3_PLDD_7C_Generic,Layer,169,0,169,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV3_NLDD_7B_Generic,Layer,168,0,168,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV3_7E_Generic,Layer,167,0,167,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV3Pwell_1R_Generic,Layer,166,0,166,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV3Nwell_1Q_Generic,Layer,165,0,165,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV2_PLDD_6L_Generic,Layer,146,0,146,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV2_NLDD_6K_Generic,Layer,145,0,145,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DV2_6J_Generic,Layer,144,0,144,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DRIFT_AA_Generic,Layer,47,28,47,28,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DNWELL_06_Generic,Layer,12,0,12,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DNPlus_5W_Generic,Layer,242,0,242,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DNI_3C_Generic,Layer,78,0,78,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_DEPL_25_Generic,Layer,25,0,25,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Cwell_02_Generic,Layer,125,0,125,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Contact_75_Generic,Layer,33,0,33,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Cell_imp_30_Generic,Layer,26,0,26,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_CellSD_6X_Generic,Layer,182,0,182,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_C_OPEN_8N_Generic,Layer,22,28,22,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_COPPER2_OC_Generic,Layer,67,28,67,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_COPPER1_VIA_A4_Generic,Layer,69,28,69,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_COPPER1_OB_Generic,Layer,66,28,66,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_COMP_10_Generic,Layer,22,0,22,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_CAP_45_Generic,Layer,29,0,29,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BuriedCavity_5H_Generic,Layer,199,0,199,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Base_49_Generic,Layer,123,0,123,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BVTP_2B_Generic,Layer,137,0,137,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BURIEDGRS_0H_Generic,Layer,26,28,26,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BURIEDGRD_0G_Generic,Layer,25,28,25,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BT_1H_Generic,Layer,186,0,186,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BN_20_Generic,Layer,11,0,11,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BJT_6N_Generic,Layer,133,0,133,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_BI_BI_JD,Layer,6,8,6,8,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_AntiFuse_8G_Generic,Layer,142,0,142,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_AV_14_Generic,Layer,14,0,14,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ALPad_9S_Generic,Layer,130,0,130,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_AD_11_Generic,Layer,15,0,15,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_A4_VIA_A5_Generic,Layer,70,28,70,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZeroVT_Generic,Layer,4,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Zener_Pimp_Label_Generic,Layer,155,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
